Alternative,Expression,Segment,Coefficient,Description
knr_eb,knr_eb_skim.[Transfer Wait Time],,-0.0362,Transfer wait time
knr_eb,knr_eb_skim.[Dwelling Time],,-0.0181,Dwell Time
pnr_lb,Constant,,-0.336,Constant
pnr_lb,Constant,v0,-99,Auto Availability
pnr_lb,Constant,vs,-99,Unavailable
pnr_lb,se.LowIncomePct.O,,1.55,Low Income
pnr_lb,pnr_lb_skim.[In-Vehicle Time],,-0.0181,IVTT
pnr_lb,pnr_lb_skim.Fare,,-0.09128,Transit fare
pnr_lb,pnr_lb_skim.[Access Drive Time],,-0.0181,Access drive time
pnr_lb,pnr_lb_skim.[Egress Walk Time],,-0.0453,Egress walk time
pnr_lb,pnr_lb_skim.[Transfer Walk Time],,-0.0453,Transfer walk time
pnr_lb,pnr_lb_skim.[Initial Wait Time],,-0.0362,Initial wait time
pnr_lb,pnr_lb_skim.[Transfer Wait Time],,-0.0362,Transfer wait time
pnr_lb,pnr_lb_skim.[Dwelling Time],,-0.0181,Dwell Time
pnr_eb,Constant,,-0.336,Constant
pnr_eb,Constant,v0,-99,Auto Availability
pnr_eb,Constant,vs,-99,Unavailable
pnr_eb,se.LowIncomePct.O,,1.55,Low Income
pnr_eb,pnr_eb_skim.[In-Vehicle Time],,-0.0181,IVTT
pnr_eb,pnr_eb_skim.Fare,,-0.09128,Transit fare
pnr_eb,pnr_eb_skim.[Access Drive Time],,-0.0181,Access drive time
pnr_eb,pnr_eb_skim.[Egress Walk Time],,-0.0453,Egress walk time
pnr_eb,pnr_eb_skim.[Transfer Walk Time],,-0.0453,Transfer walk time
pnr_eb,pnr_eb_skim.[Initial Wait Time],,-0.0362,Initial wait time
pnr_eb,pnr_eb_skim.[Transfer Wait Time],,-0.0362,Transfer wait time
pnr_eb,pnr_eb_skim.[Dwelling Time],,-0.0181,Dwell Time
hov2,Constant,v0,1.025894,Additional Calibration Constant
hov3,Constant,v0,1.213119,Additional Calibration Constant
walk,Constant,v0,-1.164411,Additional Calibration Constant
pnr,Constant,v0,-1.164411,Additional Calibration Constant
knr,Constant,v0,-1.164411,Additional Calibration Constant
auto_pay,Constant,v0,0.492099,Additional Calibration Constant
sov,Constant,vi,0.156241,Additional Calibration Constant
hov2,Constant,vi,-0.401922,Additional Calibration Constant
hov3,Constant,vi,-0.049076,Additional Calibration Constant
walk,Constant,vi,-3.496499,Additional Calibration Constant
pnr,Constant,vi,-3.496499,Additional Calibration Constant
knr,Constant,vi,-3.496499,Additional Calibration Constant
auto_pay,Constant,vi,-0.391878,Additional Calibration Constant
sov,Constant,vs,-0.067662,Additional Calibration Constant
hov2,Constant,vs,0.42755,Additional Calibration Constant
hov3,Constant,vs,-0.084572,Additional Calibration Constant
auto_pay,Constant,vs,-1.381108,Additional Calibration Constant
