Alternative,Expression,Segment,Coefficient,Description
pnr_eb,pnr_eb_skim.[Dwelling Time],,-0.0106,Dwell Time
hov2,Constant,v0,-1.296022,Additional Calibration Constant
hov3,Constant,v0,0.33041,Additional Calibration Constant
walk,Constant,v0,-0.514434,Additional Calibration Constant
pnr,Constant,v0,-0.514434,Additional Calibration Constant
knr,Constant,v0,-0.514434,Additional Calibration Constant
auto_pay,Constant,v0,-0.22115,Additional Calibration Constant
shuttle,Constant,v0,2.425819,Additional Calibration Constant
sov,Constant,ilvi,0.014194,Additional Calibration Constant
hov2,Constant,ilvi,0.640482,Additional Calibration Constant
hov3,Constant,ilvi,0.186732,Additional Calibration Constant
walk,Constant,ilvi,-1.308812,Additional Calibration Constant
pnr,Constant,ilvi,-1.308812,Additional Calibration Constant
knr,Constant,ilvi,-1.308812,Additional Calibration Constant
auto_pay,Constant,ilvi,-1.089568,Additional Calibration Constant
shuttle,Constant,ilvi,1.600502,Additional Calibration Constant
sov,Constant,ilvs,0.109097,Additional Calibration Constant
hov2,Constant,ilvs,-0.051116,Additional Calibration Constant
hov3,Constant,ilvs,0.352927,Additional Calibration Constant
walk,Constant,ilvs,-4.954385,Additional Calibration Constant
pnr,Constant,ilvs,-4.954385,Additional Calibration Constant
knr,Constant,ilvs,-4.954385,Additional Calibration Constant
auto_pay,Constant,ilvs,-1.333749,Additional Calibration Constant
shuttle,Constant,ilvs,0.128243,Additional Calibration Constant
sov,Constant,ihvi,0.030077,Additional Calibration Constant
hov2,Constant,ihvi,-0.245474,Additional Calibration Constant
hov3,Constant,ihvi,-0.718534,Additional Calibration Constant
walk,Constant,ihvi,-2.055353,Additional Calibration Constant
pnr,Constant,ihvi,-2.055353,Additional Calibration Constant
knr,Constant,ihvi,-2.055353,Additional Calibration Constant
auto_pay,Constant,ihvi,0.238247,Additional Calibration Constant
shuttle,Constant,ihvi,-0.685842,Additional Calibration Constant
sov,Constant,ihvs,-0.004535,Additional Calibration Constant
hov2,Constant,ihvs,0.291538,Additional Calibration Constant
hov3,Constant,ihvs,-1.362243,Additional Calibration Constant
auto_pay,Constant,ihvs,-0.351138,Additional Calibration Constant
