VARIABLE,CODE,TEXT,EQUIV
Primary_Occupation,21,Production Occupations,Production Occupations
Primary_Occupation,22,Transportation and Material Moving Occupations,Transportation and Material Moving Occupations
Primary_Occupation,23,Military Specific Occupations,Military Specific Occupations
Primary_Occupation,24,Something else,Something else
Primary_Occupation,96,Other/Not applicable (unemployed/student/retired),Other/Not applicable (unemployed/student/retired)
Primary_Occupation,98,Don't Know,Don't Know
Primary_Occupation,99,Refused,Refused
Primary_Industry,1,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting"
Primary_Industry,2,"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction"
Primary_Industry,3,Utilities,Utilities
Primary_Industry,4,Construction,Construction
Primary_Industry,5,Wholesale Trade,Wholesale Trade
Primary_Industry,6,Information,Information
Primary_Industry,7,Finance and Insurance,Finance and Insurance
Primary_Industry,8,"Real Estate, Rental and Leasing","Real Estate, Rental and Leasing"
Primary_Industry,9,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services"
Primary_Industry,10,Management Of Companies and Enterprises,Management Of Companies and Enterprises
Primary_Industry,11,Administration and Support of Waste Management and Remediation Services,Administration and Support of Waste Management and Remediation Services
Primary_Industry,12,Educational Services,Educational Services
Primary_Industry,13,Healthcare and Social Assistance,Healthcare and Social Assistance
Primary_Industry,14,"Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation"
Primary_Industry,15,"Casino, Hotel, Food Services and Other Accommodation","Casino, Hotel, Food Services and Other Accommodation"
Primary_Industry,16,Other Services (Except Public Administration),Other Services (Except Public Administration)
Primary_Industry,17,Public Administration,Public Administration
Primary_Industry,18,Manufacturing,Manufacturing
Primary_Industry,19,Transportation and Warehousing,Transportation and Warehousing
Primary_Industry,20,Retail Trade,Retail Trade
Primary_Industry,21,Something else (specify),Something else (specify)
Student_Status,1,Yes,Yes
Student_Status,2,No,No
Student_Status,98,Don't Know,Dont Know
Student_Status,99,Refused,Refused
School_Type,1,Daycare / Preschool,Daycare / Preschool
School_Type,2,Elementary School,Elementary School
School_Type,3,Middle School/Junior High,Middle School/Junior High
School_Type,4,High School,High School
School_Type,5,Post Secondary / College / Trade,Post Secondary / College / Trade
School_Type,96,Other,Other
School_Type,98,Don't Know,Dont Know
School_Type,99,Refused,Refused
Travel,1,Yes,Yes
Travel,2,No,No
Travel,98,Don't Know,Dont Know
Travel,99,Refused,Refused
Type_of_Vehicle,1,Motorcycle (includes mopeds),Motorcycle (includes mopeds)
Type_of_Vehicle,2,Car (includes station wagons),Car (includes station wagons)
Type_of_Vehicle,3,Van (mini and passenger),Van (mini and passenger)
Type_of_Vehicle,4,Sport Utility Vehicle,Sport Utility Vehicle
Type_of_Vehicle,5,Pickup Truck,Pickup Truck
Type_of_Vehicle,6,Cargo Van,Cargo Van
Type_of_Vehicle,7,Service Vehicle,Service Vehicle
Type_of_Vehicle,96,Other,Other
Type_of_Vehicle,98,Don’t Know,Dont Know
Type_of_Vehicle,99,Refused,Refused
Activity_Type_Code,1,Working At Home (For Pay Or Volunteer),H
Activity_Type_Code,2,Any Other Activities At Home,H
Activity_Type_Code,3,Work/Doing My Job (At Regular Place Of Employment/Volunteer Location),W
Activity_Type_Code,4,Work/Doing My Job (At Other Location),W
Activity_Type_Code,5,"Work Related (Off-Site Meeting, Delivery)",W
Activity_Type_Code,6,"Attend Child Care (Day Care, Pre-School, After School Care)",SCH
Activity_Type_Code,7,Attend School (K-12),SCH
Activity_Type_Code,8,Attend College/University/Trade School,O
Activity_Type_Code,9,Shopping,SHP
Activity_Type_Code,10,"Personal Business (laundry, dry cleaning, barber, bank, medical, etc)",O
Activity_Type_Code,11,Eat Out,SR
Activity_Type_Code,12,Gaming,SR
Activity_Type_Code,13,Other Non-Gaming Entertainment Or Recreation,SR
Activity_Type_Code,14,Civic Or Religious Activities,SR
Activity_Type_Code,15,Visit With Friends/Relatives,SR
Activity_Type_Code,16,"Chauffeur Passenger(s) for Uber, Lyft, taxi, limo, etc",X
Activity_Type_Code,17,"Food/Grocery Delivery for DoorDash, UberEats, Instacart, etc",O
Activity_Type_Code,18,Pick-up/Drop-off Person at Work,O
Activity_Type_Code,19,Pick-up/Drop-off Person at School,O
Activity_Type_Code,20,Pick-up/Drop-off Person at Day Care,O
Activity_Type_Code,21,Pick-up/Drop-off Person at Other,O
Activity_Type_Code,22,Change Mode of Travel,X
Activity_Type_Code,96,"Other, Specify",O
Activity_Type_Code,98,Don't Know,O
Activity_Type_Code,99,Refused,O
Type_of_Place,1,Residential,Residential
Type_of_Place,2,"Transportation Stop (Bus, Train)","Transportation Stop (Bus, Train)"
Type_of_Place,3,Office (non‐government),Office (nongovernment)
Type_of_Place,4,Office (government),Office (government)
Type_of_Place,5,Home Office/Residential Workplace,Home Office/Residential Workplace
Type_of_Place,6,Coworking Space,Coworking Space
Type_of_Place,7,Industrial Warehouse/Manufacturing,Industrial Warehouse/Manufacturing
Type_of_Place,8,Medical Offices/Hospital,Medical Offices/Hospital
Type_of_Place,9,School; Daycare/Preschool,School; Daycare/Preschool
Type_of_Place,10,School; Elementary,School; Elementary
Type_of_Place,11,School; Middle/Junior High,School; Middle/Junior High
Type_of_Place,12,School; High School,School; High School
Type_of_Place,13,School; College/University/Trade School,School; College/University/Trade School
Type_of_Place,14,"Restaurant/Fast Food, Café, Bar & Grill","Restaurant/Fast Food, Cafe, Bar & Grill"
Type_of_Place,15,Convenience/Drug Store/Gas Station,Convenience/Drug Store/Gas Station
Type_of_Place,16,Grocery Store,Grocery Store
Type_of_Place,17,Recreational facility/Fitness Club,Recreational facility/Fitness Club
Type_of_Place,18,Other Retail /Shopping,Other Retail /Shopping
Type_of_Place,19,"Other Personal Business (i.e. Bank, Automotive Dealer, Beauty Salon, etc.)","Other Personal Business (i.e. Bank, Automotive Dealer, Beauty Salon, etc.)"
Type_of_Place,20,Outdoor Park/Beach/Sports Field/Open Space,Outdoor Park/Beach/Sports Field/Open Space
Type_of_Place,21,Hotel/Motel/Campsite,Hotel/Motel/Campsite
Type_of_Place,22,Airport,Airport
Type_of_Place,96,Other (specify),Other (specify)
Type_of_Place,98,Don’t Know,Dont Know
Type_of_Place,99,Refused,Refused
Mode_of_Travel,1,Walk,walk
Mode_of_Travel,2,Bike,bike
Mode_of_Travel,3,Driver (Personal Car/Truck/Van),auto
Mode_of_Travel,4,Passenger (Personal Car/Truck/Van) ,auto
Mode_of_Travel,5,Commercial Vehicle,cv
Mode_of_Travel,6,School Bus,school_bus
Mode_of_Travel,7,RTC Fixed Route Bus,bus
Mode_of_Travel,8,RTC FlexRide,flexride
Mode_of_Travel,9,RTC Vanpool,vanpool
Mode_of_Travel,10,Taxi/Limo/Rideshare (Uber/Lyft),tnc
Mode_of_Travel,11,E-Scooter (Bird or Personal),scooter
Mode_of_Travel,12,Private Bus / Employer Shuttle/ Hotel Shuttle,shuttle
Mode_of_Travel,96,Other,other
Mode_of_Travel,98,Don't Know,Dont Know
Mode_of_Travel,99,Refused,Refused
Pay_to_Park,1,Yes,Yes
Pay_to_Park,2,No,No
Pay_to_Park,98,Don't Know,Dont Know
Pay_to_Park,99,Refused,Refused
Transit_Access,1,Walked,w
Transit_Access,2,Biked,w
Transit_Access,3,Drove (Personal Car/Truck/Van),pnr
Transit_Access,4,Passenger (Personal Car/Truck/Van) ,knr
Transit_Access,5,Commercial Vehicle,pnr
Transit_Access,6,RTC FlexRide,knr
Transit_Access,7,RTC Vanpool,knr
Transit_Access,8,Taxi/Limo/Rideshare (Uber/Lyft),knr
Transit_Access,9,E-Scooter (Bird or Personal),w
Transit_Access,96,Other,w
Transit_Access,98,Don't Know,w
Transit_Access,99,Refused,w
Transit_Egress,1,Walked,w
Transit_Egress,2,Biked,w
Transit_Egress,3,Drove (Personal Car/Truck/Van),pnr
Transit_Egress,4,Passenger (Personal Car/Truck/Van) ,knr
Transit_Egress,5,Commercial Vehicle,pnr
Transit_Egress,6,RTC FlexRide,knr
Transit_Egress,7,RTC Vanpool,knr
Transit_Egress,8,Taxi/Limo/Rideshare (Uber/Lyft),knr
Transit_Egress,9,E-Scooter (Bird or Personal),w
Transit_Egress,96,Other,w
Transit_Egress,98,Don't Know,w
Transit_Egress,99,Refused,w
